,IP source,IP destiny,L2 protocol,Source port,Destiny port,Package size
0,192.30.253.72,10.10.10.10,udp,53,53,42
1,192.30.253.74,10.10.10.10,tcp,20,80,54
2,192.30.253.85,10.10.10.10,tcp,20,80,54
3,192.30.253.60,10.10.10.10,udp,53,53,42
4,192.30.253.35,10.10.10.10,udp,53,53,42
5,192.30.253.17,10.10.10.10,tcp,20,80,54
6,192.30.253.47,10.10.10.10,tcp,20,80,54
7,192.30.253.18,10.10.10.10,udp,53,53,42
8,192.30.253.30,10.10.10.10,udp,53,53,42
9,192.30.253.20,10.10.10.10,udp,53,53,42
10,192.30.253.14,10.10.10.10,tcp,20,80,54
11,192.30.253.95,10.10.10.10,tcp,20,80,54
12,192.30.253.19,10.10.10.10,udp,53,53,42
13,192.30.253.54,10.10.10.10,udp,53,53,42
14,192.30.253.71,10.10.10.10,tcp,20,80,54
15,192.30.253.56,10.10.10.10,udp,53,53,42
16,192.30.253.26,10.10.10.10,udp,53,53,42
17,192.30.253.69,10.10.10.10,udp,53,53,42
18,192.30.253.34,10.10.10.10,tcp,20,80,54
19,192.30.253.36,10.10.10.10,tcp,20,80,54
20,192.30.253.4,10.10.10.10,udp,53,53,42
21,192.30.253.5,10.10.10.10,tcp,20,80,54
22,192.30.253.10,10.10.10.10,udp,53,53,42
23,192.30.253.77,10.10.10.10,tcp,20,80,54
24,192.30.253.87,10.10.10.10,tcp,20,80,54
25,192.30.253.24,10.10.10.10,tcp,20,80,54
26,192.30.253.51,10.10.10.10,tcp,20,80,54
27,192.30.253.7,10.10.10.10,tcp,20,80,54
28,192.30.253.45,10.10.10.10,udp,53,53,42
29,192.30.253.83,10.10.10.10,tcp,20,80,54
30,192.30.253.91,10.10.10.10,udp,53,53,42
31,192.30.253.67,10.10.10.10,udp,53,53,42
32,192.30.253.25,10.10.10.10,tcp,20,80,54
33,192.30.253.18,10.10.10.10,tcp,20,80,54
34,192.30.253.13,10.10.10.10,tcp,20,80,54
35,192.30.253.62,10.10.10.10,tcp,20,80,54
36,192.30.253.36,10.10.10.10,udp,53,53,42
37,192.30.253.49,10.10.10.10,tcp,20,80,54
38,192.30.253.23,10.10.10.10,tcp,20,80,54
39,192.30.253.86,10.10.10.10,tcp,20,80,54
40,192.30.253.48,10.10.10.10,tcp,20,80,54
41,192.30.253.26,10.10.10.10,tcp,20,80,54
42,192.30.253.94,10.10.10.10,udp,53,53,42
43,192.30.253.50,10.10.10.10,tcp,20,80,54
44,192.30.253.61,10.10.10.10,udp,53,53,42
45,192.30.253.43,10.10.10.10,udp,53,53,42
46,192.30.253.17,10.10.10.10,udp,53,53,42
47,192.30.253.45,10.10.10.10,tcp,20,80,54
48,192.30.253.11,10.10.10.10,tcp,20,80,54
49,192.30.253.42,10.10.10.10,udp,53,53,42
50,192.30.253.80,10.10.10.10,udp,53,53,42
51,192.30.253.31,10.10.10.10,tcp,20,80,54
52,192.30.253.25,10.10.10.10,udp,53,53,42
53,192.30.253.3,10.10.10.10,tcp,20,80,54
54,192.30.253.3,10.10.10.10,udp,53,53,42
55,192.30.253.69,10.10.10.10,tcp,20,80,54
56,192.30.253.72,10.10.10.10,tcp,20,80,54
57,192.30.253.82,10.10.10.10,tcp,20,80,54
58,192.30.253.1,10.10.10.10,udp,53,53,42
59,192.30.253.27,10.10.10.10,udp,53,53,42
60,192.30.253.58,10.10.10.10,udp,53,53,42
61,192.30.253.94,10.10.10.10,tcp,20,80,54
62,192.30.253.73,10.10.10.10,udp,53,53,42
63,192.30.253.75,10.10.10.10,udp,53,53,42
64,192.30.253.2,10.10.10.10,tcp,20,80,54
65,192.30.253.81,10.10.10.10,udp,53,53,42
66,192.30.253.15,10.10.10.10,udp,53,53,42
67,192.30.253.96,10.10.10.10,tcp,20,80,54
68,192.30.253.92,10.10.10.10,udp,53,53,42
69,192.30.253.14,10.10.10.10,udp,53,53,42
70,192.30.253.95,10.10.10.10,udp,53,53,42
71,192.30.253.60,10.10.10.10,tcp,20,80,54
72,192.30.253.92,10.10.10.10,tcp,20,80,54
73,192.30.253.81,10.10.10.10,tcp,20,80,54
74,192.30.253.75,10.10.10.10,tcp,20,80,54
75,192.30.253.12,10.10.10.10,tcp,20,80,54
76,192.30.253.39,10.10.10.10,udp,53,53,42
77,192.30.253.59,10.10.10.10,tcp,20,80,54
78,192.30.253.41,10.10.10.10,tcp,20,80,54
79,192.30.253.99,10.10.10.10,tcp,20,80,54
80,192.30.253.35,10.10.10.10,tcp,20,80,54
81,192.30.253.91,10.10.10.10,tcp,20,80,54
82,192.30.253.4,10.10.10.10,tcp,20,80,54
83,192.30.253.93,10.10.10.10,udp,53,53,42
84,192.30.253.98,10.10.10.10,tcp,20,80,54
85,192.30.253.16,10.10.10.10,tcp,20,80,54
86,192.30.253.47,10.10.10.10,udp,53,53,42
87,192.30.253.55,10.10.10.10,udp,53,53,42
88,192.30.253.29,10.10.10.10,udp,53,53,42
89,192.30.253.0,10.10.10.10,udp,53,53,42
90,192.30.253.55,10.10.10.10,tcp,20,80,54
91,192.30.253.67,10.10.10.10,tcp,20,80,54
92,192.30.253.7,10.10.10.10,udp,53,53,42
93,192.30.253.28,10.10.10.10,tcp,20,80,54
94,192.30.253.89,10.10.10.10,tcp,20,80,54
95,192.30.253.84,10.10.10.10,udp,53,53,42
96,192.30.253.68,10.10.10.10,udp,53,53,42
97,192.30.253.13,10.10.10.10,udp,53,53,42
98,192.30.253.56,10.10.10.10,tcp,20,80,54
99,192.30.253.57,10.10.10.10,udp,53,53,42
100,192.30.253.10,10.10.10.10,tcp,20,80,54
101,192.30.253.21,10.10.10.10,tcp,20,80,54
102,192.30.253.80,10.10.10.10,tcp,20,80,54
103,192.30.253.88,10.10.10.10,tcp,20,80,54
104,192.30.253.63,10.10.10.10,tcp,20,80,54
105,192.30.253.31,10.10.10.10,udp,53,53,42
106,192.30.253.78,10.10.10.10,udp,53,53,42
107,192.30.253.2,10.10.10.10,udp,53,53,42
108,192.30.253.58,10.10.10.10,tcp,20,80,54
109,192.30.253.37,10.10.10.10,tcp,20,80,54
110,192.30.253.44,10.10.10.10,tcp,20,80,54
111,192.30.253.50,10.10.10.10,udp,53,53,42
112,192.30.253.1,10.10.10.10,tcp,20,80,54
113,192.30.253.42,10.10.10.10,tcp,20,80,54
114,192.30.253.24,10.10.10.10,udp,53,53,42
115,192.30.253.34,10.10.10.10,udp,53,53,42
116,192.30.253.38,10.10.10.10,tcp,20,80,54
117,192.30.253.62,10.10.10.10,udp,53,53,42
118,192.30.253.89,10.10.10.10,udp,53,53,42
119,192.30.253.82,10.10.10.10,udp,53,53,42
120,192.30.253.22,10.10.10.10,udp,53,53,42
121,192.30.253.84,10.10.10.10,tcp,20,80,54
122,192.30.253.78,10.10.10.10,tcp,20,80,54
123,192.30.253.59,10.10.10.10,udp,53,53,42
124,192.30.253.37,10.10.10.10,udp,53,53,42
125,192.30.253.6,10.10.10.10,udp,53,53,42
126,192.30.253.63,10.10.10.10,udp,53,53,42
127,192.30.253.6,10.10.10.10,tcp,20,80,54
128,192.30.253.83,10.10.10.10,udp,53,53,42
129,192.30.253.76,10.10.10.10,tcp,20,80,54
130,192.30.253.85,10.10.10.10,udp,53,53,42
131,192.30.253.57,10.10.10.10,tcp,20,80,54
132,192.30.253.43,10.10.10.10,tcp,20,80,54
133,192.30.253.39,10.10.10.10,tcp,20,80,54
134,192.30.253.8,10.10.10.10,tcp,20,80,54
135,192.30.253.73,10.10.10.10,tcp,20,80,54
136,192.30.253.71,10.10.10.10,udp,53,53,42
137,192.30.253.29,10.10.10.10,tcp,20,80,54
138,192.30.253.53,10.10.10.10,tcp,20,80,54
139,192.30.253.77,10.10.10.10,udp,53,53,42
140,192.30.253.23,10.10.10.10,udp,53,53,42
141,192.30.253.66,10.10.10.10,tcp,20,80,54
142,192.30.253.61,10.10.10.10,tcp,20,80,54
143,192.30.253.96,10.10.10.10,udp,53,53,42
144,192.30.253.46,10.10.10.10,udp,53,53,42
145,192.30.253.90,10.10.10.10,udp,53,53,42
146,192.30.253.76,10.10.10.10,udp,53,53,42
147,192.30.253.68,10.10.10.10,tcp,20,80,54
148,192.30.253.65,10.10.10.10,udp,53,53,42
149,192.30.253.8,10.10.10.10,udp,53,53,42
150,192.30.253.65,10.10.10.10,tcp,20,80,54
151,192.30.253.87,10.10.10.10,udp,53,53,42
152,192.30.253.19,10.10.10.10,tcp,20,80,54
153,192.30.253.9,10.10.10.10,tcp,20,80,54
154,192.30.253.9,10.10.10.10,udp,53,53,42
155,192.30.253.44,10.10.10.10,udp,53,53,42
156,192.30.253.48,10.10.10.10,udp,53,53,42
157,192.30.253.46,10.10.10.10,tcp,20,80,54
158,192.30.253.41,10.10.10.10,udp,53,53,42
159,192.30.253.30,10.10.10.10,tcp,20,80,54
160,192.30.253.38,10.10.10.10,udp,53,53,42
161,192.30.253.86,10.10.10.10,udp,53,53,42
162,192.30.253.70,10.10.10.10,udp,53,53,42
163,192.30.253.33,10.10.10.10,udp,53,53,42
164,192.30.253.64,10.10.10.10,udp,53,53,42
165,192.30.253.40,10.10.10.10,udp,53,53,42
166,192.30.253.53,10.10.10.10,udp,53,53,42
167,192.30.253.27,10.10.10.10,tcp,20,80,54
168,192.30.253.15,10.10.10.10,tcp,20,80,54
169,192.30.253.66,10.10.10.10,udp,53,53,42
170,192.30.253.33,10.10.10.10,tcp,20,80,54
171,192.30.253.79,10.10.10.10,udp,53,53,42
172,192.30.253.21,10.10.10.10,udp,53,53,42
173,192.30.253.40,10.10.10.10,tcp,20,80,54
174,192.30.253.16,10.10.10.10,udp,53,53,42
175,192.30.253.88,10.10.10.10,udp,53,53,42
176,192.30.253.70,10.10.10.10,tcp,20,80,54
