,IP source,IP destiny,L2 protocol,Source port,Destiny port,Package size
0,17798225372,10101010,udp,53,53,42
1,17798225374,10101010,tcp,20,80,54
2,17798225385,10101010,tcp,20,80,54
3,17798225360,10101010,udp,53,53,42
4,17798225335,10101010,udp,53,53,42
5,17798225317,10101010,tcp,20,80,54
6,17798225347,10101010,tcp,20,80,54
7,17798225318,10101010,udp,53,53,42
8,17798225330,10101010,udp,53,53,42
9,17798225320,10101010,udp,53,53,42
10,17798225314,10101010,tcp,20,80,54
11,17798225395,10101010,tcp,20,80,54
12,17798225319,10101010,udp,53,53,42
13,17798225354,10101010,udp,53,53,42
14,17798225371,10101010,tcp,20,80,54
15,17798225356,10101010,udp,53,53,42
16,17798225326,10101010,udp,53,53,42
17,17798225369,10101010,udp,53,53,42
18,17798225334,10101010,tcp,20,80,54
19,17798225336,10101010,tcp,20,80,54
20,1779822534,10101010,udp,53,53,42
21,1779822535,10101010,tcp,20,80,54
22,17798225310,10101010,udp,53,53,42
23,17798225377,10101010,tcp,20,80,54
24,17798225387,10101010,tcp,20,80,54
25,17798225324,10101010,tcp,20,80,54
26,17798225351,10101010,tcp,20,80,54
27,1779822537,10101010,tcp,20,80,54
28,17798225345,10101010,udp,53,53,42
29,17798225383,10101010,tcp,20,80,54
30,17798225391,10101010,udp,53,53,42
31,17798225367,10101010,udp,53,53,42
32,17798225325,10101010,tcp,20,80,54
33,17798225318,10101010,tcp,20,80,54
34,17798225313,10101010,tcp,20,80,54
35,17798225362,10101010,tcp,20,80,54
36,17798225336,10101010,udp,53,53,42
37,17798225349,10101010,tcp,20,80,54
38,17798225323,10101010,tcp,20,80,54
39,17798225386,10101010,tcp,20,80,54
40,17798225348,10101010,tcp,20,80,54
41,17798225326,10101010,tcp,20,80,54
42,17798225394,10101010,udp,53,53,42
43,17798225350,10101010,tcp,20,80,54
44,17798225361,10101010,udp,53,53,42
45,17798225343,10101010,udp,53,53,42
46,17798225317,10101010,udp,53,53,42
47,17798225345,10101010,tcp,20,80,54
48,17798225311,10101010,tcp,20,80,54
49,17798225342,10101010,udp,53,53,42
50,1923025380,10101010,udp,53,53,42
51,1923025331,10101010,tcp,20,80,54
52,1923025325,10101010,udp,53,53,42
53,192302533,10101010,tcp,20,80,54
54,192302533,10101010,udp,53,53,42
55,1923025369,10101010,tcp,20,80,54
56,1923025372,10101010,tcp,20,80,54
57,1923025382,10101010,tcp,20,80,54
58,192302531,10101010,udp,53,53,42
59,1923025327,10101010,udp,53,53,42
60,1923025358,10101010,udp,53,53,42
61,1923025394,10101010,tcp,20,80,54
62,1923025373,10101010,udp,53,53,42
63,1923025375,10101010,udp,53,53,42
64,192302532,10101010,tcp,20,80,54
65,1923025381,10101010,udp,53,53,42
66,1923025315,10101010,udp,53,53,42
67,1923025396,10101010,tcp,20,80,54
68,1923025392,10101010,udp,53,53,42
69,1923025314,10101010,udp,53,53,42
70,1923025395,10101010,udp,53,53,42
71,1923025360,10101010,tcp,20,80,54
72,1923025392,10101010,tcp,20,80,54
73,1923025381,10101010,tcp,20,80,54
74,1923025375,10101010,tcp,20,80,54
75,1923025312,10101010,tcp,20,80,54
76,1923025339,10101010,udp,53,53,42
77,1923025359,10101010,tcp,20,80,54
78,1923025341,10101010,tcp,20,80,54
79,1923025399,10101010,tcp,20,80,54
80,1923025335,10101010,tcp,20,80,54
81,1923025391,10101010,tcp,20,80,54
82,192302534,10101010,tcp,20,80,54
83,1923025393,10101010,udp,53,53,42
84,1923025398,10101010,tcp,20,80,54
85,1923025316,10101010,tcp,20,80,54
86,1923025347,10101010,udp,53,53,42
87,1923025355,10101010,udp,53,53,42
88,1923025329,10101010,udp,53,53,42
89,192302530,10101010,udp,53,53,42
90,1923025355,10101010,tcp,20,80,54
91,1923025367,10101010,tcp,20,80,54
92,192302537,10101010,udp,53,53,42
93,1923025328,10101010,tcp,20,80,54
94,1923025389,10101010,tcp,20,80,54
95,1923025384,10101010,udp,53,53,42
96,1923025368,10101010,udp,53,53,42
97,1923025313,10101010,udp,53,53,42
98,1923025356,10101010,tcp,20,80,54
99,1923025357,10101010,udp,53,53,42
100,1923025310,10101010,tcp,20,80,54
101,1923025321,10101010,tcp,20,80,54
102,1923025380,10101010,tcp,20,80,54
103,1923025388,10101010,tcp,20,80,54
104,1923025363,10101010,tcp,20,80,54
105,1923025331,10101010,udp,53,53,42
106,1923025378,10101010,udp,53,53,42
107,192302532,10101010,udp,53,53,42
108,1923025358,10101010,tcp,20,80,54
109,1923025337,10101010,tcp,20,80,54
110,1923025344,10101010,tcp,20,80,54
111,1923025350,10101010,udp,53,53,42
112,192302531,10101010,tcp,20,80,54
113,1923025342,10101010,tcp,20,80,54
114,1923025324,10101010,udp,53,53,42
115,1923025334,10101010,udp,53,53,42
116,1923025338,10101010,tcp,20,80,54
117,1923025362,10101010,udp,53,53,42
118,1923025389,10101010,udp,53,53,42
119,1923025382,10101010,udp,53,53,42
120,1923025322,10101010,udp,53,53,42
121,1923025384,10101010,tcp,20,80,54
122,1923025378,10101010,tcp,20,80,54
123,1923025359,10101010,udp,53,53,42
124,1923025337,10101010,udp,53,53,42
125,192302536,10101010,udp,53,53,42
126,1923025363,10101010,udp,53,53,42
127,192302536,10101010,tcp,20,80,54
128,1923025383,10101010,udp,53,53,42
129,1923025376,10101010,tcp,20,80,54
130,1923025385,10101010,udp,53,53,42
131,1923025357,10101010,tcp,20,80,54
132,1923025343,10101010,tcp,20,80,54
133,1923025339,10101010,tcp,20,80,54
134,192302538,10101010,tcp,20,80,54
135,1923025373,10101010,tcp,20,80,54
136,1923025371,10101010,udp,53,53,42
137,1923025329,10101010,tcp,20,80,54
138,1923025353,10101010,tcp,20,80,54
139,1923025377,10101010,udp,53,53,42
140,1923025323,10101010,udp,53,53,42
141,1923025366,10101010,tcp,20,80,54
142,1923025361,10101010,tcp,20,80,54
143,1923025396,10101010,udp,53,53,42
144,1923025346,10101010,udp,53,53,42
145,1923025390,10101010,udp,53,53,42
146,1923025376,10101010,udp,53,53,42
147,1923025368,10101010,tcp,20,80,54
148,1923025365,10101010,udp,53,53,42
149,192302538,10101010,udp,53,53,42
150,1923025365,10101010,tcp,20,80,54
151,1923025387,10101010,udp,53,53,42
152,1923025319,10101010,tcp,20,80,54
