,IP source,IP destiny,L2 protocol,Source port,Destiny port,Package size
0,170018231197,10010010010,tcp,20,80,54
1,130106197149,10010010010,tcp,20,80,54
2,154080129204,10010010010,udp,53,53,42
3,106014139178,10010010010,tcp,20,80,54
4,239063002248,10010010010,udp,53,53,42
5,172049120055,10010010010,tcp,20,80,54
6,27043002115,10010010010,udp,53,53,42
7,14093244203,10010010010,tcp,20,80,54
8,183239216151,10010010010,tcp,20,80,54
9,11207080130,10010010010,udp,53,53,42
10,205016035157,10010010010,tcp,20,80,54
11,216178139174,10010010010,tcp,20,80,54
12,76042080240,10010010010,udp,53,53,42
13,243185236067,10010010010,tcp,20,80,54
14,85134177083,10010010010,udp,53,53,42
15,118013044158,10010010010,udp,53,53,42
16,139107081043,10010010010,tcp,20,80,54
17,92207091088,10010010010,tcp,20,80,54
18,199021086201,10010010010,tcp,20,80,54
19,170207140108,10010010010,tcp,20,80,54
20,146113115067,10010010010,udp,53,53,42
21,66083022211,10010010010,udp,53,53,42
22,145013069222,10010010010,udp,53,53,42
23,27227107187,10010010010,tcp,20,80,54
24,59086236157,10010010010,udp,53,53,42
25,240111020023,10010010010,udp,53,53,42
26,103131017163,10010010010,udp,53,53,42
27,109078251187,10010010010,udp,53,53,42
28,161105130090,10010010010,tcp,20,80,54
29,224234188035,10010010010,udp,53,53,42
30,201049065006,10010010010,tcp,20,80,54
31,173203001145,10010010010,tcp,20,80,54
32,228180219243,10010010010,udp,53,53,42
33,189006138126,10010010010,udp,53,53,42
34,58035037220,10010010010,udp,53,53,42
35,1052222223,10010010010,udp,53,53,42
36,117123058141,10010010010,tcp,20,80,54
37,27052161210,10010010010,udp,53,53,42
38,238251145050,10010010010,tcp,20,80,54
39,23177015191,10010010010,udp,53,53,42
40,86084126231,10010010010,tcp,20,80,54
41,248241076203,10010010010,tcp,20,80,54
42,244172025041,10010010010,udp,53,53,42
43,56140109111,10010010010,tcp,20,80,54
44,181014137077,10010010010,tcp,20,80,54
45,151028222048,10010010010,udp,53,53,42
46,229131249196,10010010010,tcp,20,80,54
47,244172025041,10010010010,udp,53,53,42
48,169077141117,10010010010,udp,53,53,42
49,186128207048,10010010010,tcp,20,80,54
50,207212220188,10010010010,udp,53,53,42
51,181014137077,10010010010,tcp,20,80,54
52,120097113,10010010010,tcp,20,80,54
53,151028222048,10010010010,udp,53,53,42
54,108035202005,10010010010,udp,53,53,42
55,229131249196,10010010010,tcp,20,80,54
56,244172025041,10010010010,udp,53,53,42
57,92242114085,10010010010,tcp,20,80,54
58,186128207048,10010010010,tcp,20,80,54
59,235043188059,10010010010,tcp,20,80,54
60,125023244025,10010010010,tcp,20,80,54
61,207212220188,10010010010,udp,53,53,42
62,181014137077,10010010010,tcp,20,80,54
63,120097113,10010010010,tcp,20,80,54
64,157239207155,10010010010,tcp,20,80,54
65,151028222048,10010010010,udp,53,53,42
66,108035202005,10010010010,udp,53,53,42
67,229131249196,10010010010,tcp,20,80,54
68,206207240190,10010010010,tcp,20,80,54
69,244172025041,10010010010,udp,53,53,42
70,92242114085,10010010010,tcp,20,80,54
71,186128207048,10010010010,tcp,20,80,54
72,157221213114,10010010010,tcp,20,80,54
73,217048214236,10010010010,tcp,20,80,54
74,125023244025,10010010010,tcp,20,80,54
75,207212220188,10010010010,udp,53,53,42
76,181014137077,10010010010,tcp,20,80,54
77,229036100072,10010010010,udp,53,53,42
78,120097113,10010010010,tcp,20,80,54
79,157239207155,10010010010,tcp,20,80,54
80,201039195054,10010010010,tcp,20,80,54
81,151028222048,10010010010,udp,53,53,42
82,108035202005,10010010010,udp,53,53,42
83,127104122083,10010010010,tcp,20,80,54
84,206207240190,10010010010,tcp,20,80,54
85,229131249196,10010010010,tcp,20,80,54
86,244172025041,10010010010,udp,53,53,42
