,IP source,IP destiny,L2 protocol,Source port,Destiny port,Package size
0,243037022132,10010010010,tcp,20,80,54
1,224072186098,10010010010,tcp,20,80,54
2,10017177024,10010010010,tcp,20,80,54
3,251151095205,10010010010,udp,53,53,42
4,173036198154,10010010010,udp,53,53,42
5,86154108001,10010010010,udp,53,53,42
6,153172159153,10010010010,tcp,20,80,54
7,46212168085,10010010010,tcp,20,80,54
8,7243169041,10010010010,tcp,20,80,54
9,249134053106,10010010010,udp,53,53,42
10,71018066074,10010010010,udp,53,53,42
11,90084032009,10010010010,tcp,20,80,54
12,251206160192,10010010010,tcp,20,80,54
13,206106019122,10010010010,udp,53,53,42
14,105166041188,10010010010,udp,53,53,42
15,157251226032,10010010010,udp,53,53,42
16,123189033001,10010010010,udp,53,53,42
17,54071010105,10010010010,tcp,20,80,54
18,206106019122,10010010010,udp,53,53,42
19,252210094172,10010010010,udp,53,53,42
20,37032140007,10010010010,tcp,20,80,54
21,255209203241,10010010010,udp,53,53,42
22,49185146084,10010010010,udp,53,53,42
23,157251226032,10010010010,udp,53,53,42
24,123189033001,10010010010,udp,53,53,42
25,126123030046,10010010010,tcp,20,80,54
26,241033027168,10010010010,udp,53,53,42
27,54071010105,10010010010,tcp,20,80,54
28,192004009098,10010010010,udp,53,53,42
29,50166000029,10010010010,tcp,20,80,54
30,206106019122,10010010010,udp,53,53,42
31,252210094172,10010010010,udp,53,53,42
32,37032140007,10010010010,tcp,20,80,54
33,239145236219,10010010010,tcp,20,80,54
34,32088046060,10010010010,udp,53,53,42
35,49185146084,10010010010,udp,53,53,42
36,252041067233,10010010010,tcp,20,80,54
37,157251226032,10010010010,udp,53,53,42
38,140112043166,10010010010,tcp,20,80,54
39,123189033001,10010010010,udp,53,53,42
40,126123030046,10010010010,tcp,20,80,54
41,241033027168,10010010010,udp,53,53,42
42,94201141112,10010010010,udp,53,53,42
43,54071010105,10010010010,tcp,20,80,54
44,192004009098,10010010010,udp,53,53,42
45,162130018201,10010010010,tcp,20,80,54
46,50166000029,10010010010,tcp,20,80,54
47,206106019122,10010010010,udp,53,53,42
48,252210094172,10010010010,udp,53,53,42
49,37032140007,10010010010,tcp,20,80,54
50,2199237083,10010010010,udp,53,53,42
51,196010040059,10010010010,tcp,20,80,54
52,32088046060,10010010010,udp,53,53,42
53,51203082171,10010010010,tcp,20,80,54
54,49185146084,10010010010,udp,53,53,42
55,252041067233,10010010010,tcp,20,80,54
56,204049099210,10010010010,tcp,20,80,54
57,157251226032,10010010010,udp,53,53,42
58,140112043166,10010010010,tcp,20,80,54
59,123189033001,10010010010,udp,53,53,42
60,126123030046,10010010010,tcp,20,80,54
61,1215076190,10010010010,tcp,20,80,54
62,241033027168,10010010010,udp,53,53,42
63,94201141112,10010010010,udp,53,53,42
64,54071010105,10010010010,tcp,20,80,54
65,140109055158,10010010010,tcp,20,80,54
66,192004009098,10010010010,udp,53,53,42
67,162130018201,10010010010,tcp,20,80,54
68,50166000029,10010010010,tcp,20,80,54
69,206106019122,10010010010,udp,53,53,42
70,252210094172,10010010010,udp,53,53,42
71,224107092142,10010010010,tcp,20,80,54
72,37032140007,10010010010,tcp,20,80,54
73,2199237083,10010010010,udp,53,53,42
74,233247202173,10010010010,udp,53,53,42
75,147109112176,10010010010,udp,53,53,42
76,32088046060,10010010010,udp,53,53,42
77,172231182118,10010010010,udp,53,53,42
